Energy\\ID;Master;COMsType;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
Electrique;CG WM14-DIN AV5 3 D S;R;*;*;*;*;*;*;*;*;*;*;*;*;4h:0280h;4h:0286h;4h:028Ch;4h:0292h;4h:0294h;4h:0296h;4h:0282h;4h:0288h;4h:028Eh;4h:0284h;4h:028Ah;4h:0290h;4h:02C6h;4h:02CAh;*;4h:02BEh;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
Electrique;ND Meter;R;*;*;*;*;*;*;*;*;*;*;*;*;4h:0280h;4h:0286h;4h:028Ch;4h:0292h;4h:0294h;4h:0296h;4h:0282h;4h:0288h;4h:028Eh;4h:0284h;4h:028Ah;4h:0290h;4h:02C6h;4h:02CAh;*;4h:02BEh;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
Electrique;Schneider;R;*;*;*;*;*;*;*;*;*;*;*;*;4h:0280h;4h:0286h;4h:028Ch;4h:0292h;4h:0294h;4h:0296h;4h:0282h;4h:0288h;4h:028Eh;4h:0284h;4h:028Ah;4h:0290h;4h:02C6h;4h:02CAh;*;4h:02BEh;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
Tonnage;;;TONNE Live;TONNE J;TONNE S;TONNE M;TONNE A;TONNE J-1;TONNE S-1;TONNE M-1;TONNE A-1;Inc J;Inc S;Inc M;Inc A;Inc J-1;Inc S-1;Inc M-1;Inc A-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapeur;DM Endress+ Hauser;R;*;*;*;*;*;*;*;*;*;*;*;*;4h:3980h;4h:4000h;*;*;*;*;*;*;*;*;*;*;*;*;4h:02BEh;*;;;;;;;;;;;;;;;;;;;;;;
Vapeur;DM Endress+ Hauser;A;*;*;*;*;*;*;*;*;*;*;*;*;4h:3980h;4h:4000h;*;*;*;*;*;*;*;*;*;*;*;*;4h:02BEh;*;;;;;;;;;;;;;;;;;;;;;;
Eau;Zenner;D;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;4h:~h;*;;;;;;;;;;;;;;;;;;;;;;;;
Eau;POWOGAZ;D;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;4h:~h;*;;;;;;;;;;;;;;;;;;;;;;;;
Gaz;Endress + Hauser;D;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;4h:~h;*;;;;;;;;;;;;;;;;;;;;;;;;
Froid;;;KWf J;KWf S;KWf M;KWf A;KWf/T   J;KWf/T   S;KWf/T   M;KWf/T   A;Inc J;Inc S;Inc M;Inc A;4h:3980h;4h:4000h;KWf J-1;KWf S-1;KWf M-1;KWf A-1;KWf / T J-1;KWf / T S-1;KWf / T M-1;KWf / T A-1;Inc J-1;Inc S-1;Inc M-1;Inc A-1;4h:02BEh;*;;;;;;;;;;;;;;;;;;;;;;
Eau Glycolee;;;KWf J;KWf S;KWf M;KWf A;KWf/T   J;KWf/T   S;KWf/T   M;KWf/T   A;Inc J;Inc S;Inc M;Inc A;4h:3980h;4h:4000h;KWf J-1;KWf S-1;KWf M-1;KWf A-1;KWf / T J-1;KWf / T S-1;KWf / T M-1;KWf / T A-1;Inc J-1;Inc S-1;Inc M-1;Inc A-1;4h:02BEh;*;;;;;;;;;;;;;;;;;;;;;;
Eau Traite;Zenner;D;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;4h:~h;*;;;;;;;;;;;;;;;;;;;;;;;;
Eau Traite;POWOGAZ;D;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;4h:~h;*;;;;;;;;;;;;;;;;;;;;;;;;
Eau Forage;Zenner;D;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;4h:~h;*;;;;;;;;;;;;;;;;;;;;;;;;
Eau Forage;POWOGAZ;D;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;4h:~h;*;;;;;;;;;;;;;;;;;;;;;;;;
Eau Brute;Zenner;D;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;4h:~h;*;;;;;;;;;;;;;;;;;;;;;;;;
Eau Brute;POWOGAZ;D;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;4h:~h;*;;;;;;;;;;;;;;;;;;;;;;;;
Eau Sonede;Zenner;D;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;4h:~h;*;;;;;;;;;;;;;;;;;;;;;;;;
Eau Sonede;POWOGAZ;D;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;4h:~h;*;;;;;;;;;;;;;;;;;;;;;;;;
Eau Rejet;Zenner;D;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;4h:~h;*;;;;;;;;;;;;;;;;;;;;;;;;
Eau Rejet;POWOGAZ;D;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;4h:~h;*;;;;;;;;;;;;;;;;;;;;;;;;
Ammoniac;;;KWf J;KWf S;KWf M;KWf A;KWf/T   J;KWf/T   S;KWf/T   M;KWf/T   A;Inc J;Inc S;Inc M;Inc A;4h:3980h;4h:4000h;KWf J-1;KWf S-1;KWf M-1;KWf A-1;KWf / T J-1;KWf / T S-1;KWf / T M-1;KWf / T A-1;Inc J-1;Inc S-1;Inc M-1;Inc A-1;4h:02BEh;*;;;;;;;;;;;;;;;;;;;;;;
Air Comprime;;;m3 J;m3 S;m3 M;m3 A;m3/T   J;m3/T   S;m3/T   M;m3/T   A;Inc J;Inc S;Inc M;Inc A;4h:~h;m3 J-1;m3 S-1;m3 M-1;m3 A-1;m3 / T J-1;m3 / T S-1;m3 / T M-1;m3 / T A-1;Inc J-1;Inc S-1;Inc M-1;Inc A-1;4h:~h;*;;;;;;;;;;;;;;;;;;;;;;;
Temperature;Temperature;A;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;4h:~h;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;;;;;;;;;;;;;;;;;
Humidite;Humidite;A;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;4h:~h;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;;;;;;;;;;;;;;;;;
